"filename", "language", "Python", "YAML", "Markdown", "HTML", "pip requirements", "Batch", "CSS", "JSON", "comment", "blank", "total"
"c:\Automations\business-automations\sms\sms_queries.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 16, 63
"c:\Automations\business-automations\static\stylesheets\web\basic.css", "CSS", 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
"c:\Automations\business-automations\templates\design_lead\customer_email.html", "HTML", 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Automations\business-automations\templates\design_lead\staff_follow_up.html", "HTML", 0, 0, 0, 84, 0, 0, 0, 0, 0, 9, 93
"c:\Automations\business-automations\templates\email_subscription\subscribe.html", "HTML", 0, 0, 0, 33, 0, 0, 0, 0, 0, 2, 35
"c:\Automations\business-automations\templates\email_subscription\unsubscribe.html", "HTML", 0, 0, 0, 39, 0, 0, 0, 0, 0, 3, 42
"c:\Automations\business-automations\templates\gift_card.html", "HTML", 0, 0, 0, 88, 0, 0, 0, 0, 0, 5, 93
"c:\Automations\business-automations\templates\new10.html", "HTML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Automations\business-automations\templates\reporting\admin_report.html", "HTML", 0, 0, 0, 102, 0, 0, 0, 0, 4, 19, 125
"c:\Automations\business-automations\templates\reporting\daily_revenue.html", "HTML", 0, 0, 0, 97, 0, 0, 0, 0, 0, 15, 112
"c:\Automations\business-automations\templates\reporting\item_report.html", "HTML", 0, 0, 0, 101, 0, 0, 0, 0, 0, 21, 122
"c:\Automations\business-automations\templates\resubscribe.html", "HTML", 0, 0, 0, 48, 0, 0, 0, 0, 0, 2, 50
"c:\Automations\business-automations\templates\stock_notification.html", "HTML", 0, 0, 0, 165, 0, 0, 0, 0, 0, 10, 175
"c:\Automations\business-automations\templates\unsubscribe.html", "HTML", 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 54
"Total", "-", 29177, 7, 265, 858, 29, 13, 30, 9, 1747, 5319, 37454
